"Player","Team","Pass Completions"
"Ja'Marr Chase ","CIN","9"
"Jerick McKinnon ","KC","9"
"CeeDee Lamb ","DAL","9"
"Justin Jefferson ","MIN","8"
"Brandon Aiyuk ","SF","8"
"Christian Kirk ","JAC","8"
"Jaylen Waddle ","MIA","8"
"DeVonta Smith ","PHI","7"
"Tee Higgins ","CIN","7"
"Jahan Dotson ","WAS","7"
"Cole Kmet ","CHI","7"
"DJ Moore ","CHI","7"
"Juwan Johnson ","NO","7"
"Gabe Davis ","BUF","7"
"Tyreek Hill ","MIA","7"
"Christian Watson ","GB","7"
"DK Metcalf ","SEA","6"
"Jakobi Meyers ","LV","6"
"Allen Lazard ","NYJ","6"
"T.J. Hockenson ","MIN","6"
"Dawson Knox ","BUF","6"
"Adam Thielen ","CAR","6"
"Amon-Ra St. Brown ","DET","6"
"Cooper Kupp ","LAR","6"
"Mike Evans ","TB","6"
"Jerry Jeudy ","DEN","6"
"Jordan Akins ","CLE","5"
"C. McCaffrey ","SF","5"
"Zay Jones ","JAC","5"
"K.J. Osborn ","MIN","5"
"Tyler Boyd ","CIN","5"
"Russell Gage ","TB","5"
"Mike Gesicki ","NE","5"
"Mark Andrews ","BAL","5"
"Austin Ekeler ","LAC","5"
"Dalton Schultz ","HOU","5"
"Terry McLaurin ","WAS","5"
"Aaron Jones ","GB","5"
"M. Pittman Jr. ","IND","4"
"Brock Wright ","DET","4"
"Shane Zylstra ","DET","4"
"Mack Hollins ","ATL","4"
"Michael Gallup ","DAL","4"
"Chris Olave ","NO","4"
"Isaiah McKenzie ","IND","4"
"Trenton Irwin ","CIN","4"
"Richie James Jr. ","KC","4"
"George Pickens ","PIT","4"
"Dontrell Hilliard ","FA","4"
"Marquise Goodwin ","CLE","4"
"Mike Williams ","LAC","4"
"Curtis Samuel ","WAS","4"
"Drake London ","ATL","4"
""
""
